City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
420,Sturgeon Falls,CA,46.3646,-79.9326,42.1,84,100,12.39,overcast clouds
421,Lahij,YE,13.1667,44.5833,77.05,54,89,7.0,overcast clouds
422,Tuy Hoa,VN,13.0833,109.3,75.45,92,27,3.71,scattered clouds
423,Baturaja,ID,-4.1333,104.1667,74.68,95,74,1.48,moderate rain
424,Shimoda,JP,34.6667,138.95,59.11,86,100,11.81,overcast clouds
425,Honiara,SB,-9.4333,159.95,76.48,84,26,2.37,scattered clouds
426,Deer Lake,CA,49.1667,-57.4316,37.27,58,99,7.29,overcast clouds
427,Krasnoselkup,RU,65.7,82.4667,6.01,94,100,18.63,light snow
428,Airai,TL,-8.9266,125.4092,62.31,93,99,1.25,overcast clouds
429,Tucupita,VE,9.0622,-62.051,83.21,81,95,3.24,overcast clouds
430,Diffa,NE,13.3154,12.6113,86.18,15,61,8.9,broken clouds
431,Kuala Terengganu,MY,5.3302,103.1408,78.75,84,69,3.44,broken clouds
432,Poum,NC,-20.2333,164.0167,76.1,77,4,3.94,clear sky
433,Turukhansk,RU,65.8167,87.9833,-6.66,83,99,17.43,overcast clouds
434,Mabaruma,GY,8.2,-59.7833,82.04,80,100,3.65,overcast clouds
435,Mantua,IT,45.1667,10.7833,49.82,93,99,4.0,overcast clouds
436,Gat,IL,31.61,34.7642,61.48,62,64,4.79,broken clouds
437,Sagone,FR,42.1155,8.6969,61.27,82,100,3.69,overcast clouds
438,Hervey Bay,AU,-25.2986,152.8535,76.03,77,98,5.01,light rain
439,Broome,US,42.2506,-75.833,48.02,61,1,3.0,clear sky
440,Galle,LK,6.0367,80.217,78.57,77,81,11.25,broken clouds
441,Irara,BR,-12.05,-38.7667,91.87,36,67,4.81,broken clouds
442,Sampit,ID,-2.5333,112.95,74.43,96,99,1.21,overcast clouds
443,San Quintin,MX,30.4833,-115.95,67.01,62,100,4.56,overcast clouds
444,Rongcheng,CN,30.634,117.8517,50.47,72,100,4.32,light rain
445,Saint Anthony,US,45.0205,-93.218,37.24,48,20,8.99,few clouds
446,Peterborough,GB,52.5736,-0.2478,42.85,83,12,15.84,few clouds
447,Tual,ID,-5.6667,132.75,82.78,74,98,1.7,light rain
448,Buchanan,LR,5.8808,-10.0467,85.96,77,39,9.46,light rain
449,Texarkana,US,33.4251,-94.0477,67.75,84,90,8.99,overcast clouds
450,Ossora,RU,59.2353,163.0719,23.4,91,100,18.07,snow
451,Sandpoint,US,48.2766,-116.5533,36.61,93,75,4.61,light rain
452,Makurdi,NG,7.7411,8.5121,89.96,37,84,2.24,broken clouds
453,Kargil,IN,34.5667,76.1,16.39,58,0,3.38,clear sky
454,Chitral,PK,35.8462,71.7858,44.28,38,1,6.87,clear sky
455,Kolondieba,ML,11.0882,-6.8926,95.05,12,1,6.31,clear sky
456,Grand Gaube,MU,-20.0064,57.6608,77.38,69,0,3.0,light rain
